split,hbar_s,pfail,label
train,1.073521,0.150991,0
train,0.787781,0.283710,0
train,1.141460,0.128171,0
train,1.535363,0.046484,0
train,0.744631,0.308911,1
train,0.744638,0.308906,1
train,1.560646,0.043443,0
train,1.195346,0.112223,1
train,0.638737,0.375551,0
train,1.094152,0.143728,0
train,0.641462,0.373762,0
train,0.640422,0.374445,0
train,0.958883,0.196928,1
train,0.100000,0.731295,0
train,0.100000,0.731295,1
train,0.596971,0.403372,0
train,0.394226,0.544062,1
train,0.991411,0.182910,0
train,0.441389,0.511134,1
train,0.214463,0.663838,1
train,1.509542,0.049798,0
train,0.748401,0.306660,1
train,0.880388,0.234039,0
train,0.208863,0.667331,0
train,0.605028,0.397950,0
train,0.899915,0.224373,0
train,0.332053,0.586843,1
train,1.019064,0.171612,0
train,0.579713,0.415063,1
train,0.718738,0.324612,0
train,0.579232,0.415390,0
train,1.683525,0.031182,0
train,0.843926,0.252850,0
train,0.374030,0.558062,0
train,1.220145,0.105484,0
train,0.300620,0.608024,1
train,0.943989,0.203612,0
train,0.100000,0.731295,0
train,0.252316,0.639772,1
train,0.938588,0.206078,0
train,1.182310,0.115914,0
train,0.927116,0.211387,0
train,0.797958,0.277950,1
train,0.714503,0.327219,1
train,0.184665,0.682210,1
train,0.526070,0.451960,1
train,0.642713,0.372942,0
train,1.325705,0.080651,0
train,1.004628,0.177439,0
train,0.100000,0.731295,1
train,0.995838,0.181063,0
train,0.676713,0.350944,0
train,0.545385,0.438592,1
train,1.125254,0.133331,0
train,1.313950,0.083128,0
train,1.269076,0.093228,0
train,0.472352,0.489446,0
train,0.710854,0.329474,0
train,0.999069,0.179724,0
train,1.288995,0.088615,0
train,0.634372,0.378424,1
train,0.766453,0.296010,0
train,0.352149,0.573126,0
train,0.311707,0.600595,1
train,1.215637,0.106682,0
train,1.460308,0.056747,0
train,0.817595,0.267042,0
train,1.301590,0.085806,0
train,1.012736,0.174147,0
train,0.559696,0.428743,0
train,1.012628,0.174191,1
train,1.542116,0.045652,0
train,0.833878,0.258207,1
train,1.554090,0.044213,0
train,0.100000,0.731295,1
train,1.219856,0.105560,0
train,0.889171,0.229656,0
train,0.715447,0.326637,1
train,0.891292,0.228606,0
train,0.100000,0.731295,0
train,0.751148,0.305026,0
train,1.010701,0.174969,0
train,1.515052,0.049073,0
train,0.616778,0.390088,1
train,0.486178,0.479769,0
train,0.624209,0.385145,0
train,1.261931,0.094934,0
train,0.997938,0.180192,0
train,0.611608,0.393541,1
train,1.080970,0.148334,0
train,0.893685,0.227426,1
train,1.285890,0.089320,0
train,0.534076,0.446409,0
train,0.702552,0.334634,0
train,0.673551,0.352964,1
train,0.191418,0.678094,0
train,0.983254,0.186351,0
train,0.967475,0.193148,0
train,0.852301,0.248443,1
train,0.744436,0.309027,0
train,0.213083,0.664701,1
train,0.660710,0.361226,0
train,0.695778,0.338873,0
train,0.488975,0.477813,0
train,0.777421,0.289646,0
train,1.031823,0.166588,0
train,1.698784,0.029916,0
train,0.928560,0.210713,0
train,0.965898,0.193838,1
train,0.816499,0.267644,1
train,0.100000,0.731295,1
train,0.838069,0.255964,0
train,0.877104,0.235693,0
train,1.958459,0.014677,0
train,0.763438,0.297775,0
train,0.985696,0.185315,0
train,0.834380,0.257938,0
train,0.324095,0.592240,1
train,1.364270,0.072993,0
train,1.188370,0.114185,0
train,1.205964,0.109292,0
train,0.440776,0.511563,1
train,1.481257,0.053686,0
train,0.219167,0.660891,1
train,1.114086,0.136989,0
train,1.835705,0.020579,0
train,0.404259,0.537080,0
train,0.595166,0.404589,0
train,0.894843,0.226856,0
train,0.623436,0.385659,0
train,0.152201,0.701598,1
train,0.880853,0.233805,0
train,0.371963,0.559490,1
train,1.063117,0.154767,0
train,0.436259,0.514725,1
train,1.547470,0.045003,0
train,0.497536,0.471831,0
train,0.705072,0.333063,0
train,1.216083,0.106563,0
train,0.296111,0.611031,1
train,0.952357,0.199836,0
train,1.438214,0.060154,0
train,0.126633,0.716379,1
train,0.933085,0.208612,0
train,0.966947,0.193379,0
train,1.201820,0.110428,0
train,0.293372,0.612854,0
train,0.255795,0.637522,1
train,1.084874,0.146958,0
train,0.983643,0.186185,0
train,0.962722,0.195232,0
train,1.005902,0.176919,0
train,0.543989,0.439555,0
train,0.954514,0.198871,1
train,0.981883,0.186934,0
train,0.528542,0.450245,0
train,1.689599,0.030672,0
train,1.063225,0.154727,0
train,0.313913,0.599111,1
train,1.145449,0.126927,0
train,0.411393,0.532106,1
train,1.204188,0.109778,0
train,1.371368,0.071658,0
train,0.480693,0.483607,1
train,1.283519,0.089862,0
train,1.035751,0.165066,0
train,1.219927,0.105541,0
train,1.703557,0.029530,0
train,0.739575,0.311943,1
train,0.510819,0.462566,1
train,0.449719,0.505300,0
train,0.482885,0.482073,0
train,0.815304,0.268301,1
train,1.003518,0.177893,0
train,0.974511,0.190094,0
train,1.222232,0.104933,0
train,0.855851,0.246590,0
train,1.504090,0.050526,0
train,0.730904,0.317182,0
train,2.074076,0.010659,0
train,1.131550,0.131306,0
train,0.464279,0.495100,1
train,0.368098,0.562157,0
train,1.067113,0.153307,0
train,0.749442,0.306040,0
train,1.171300,0.119113,1
train,1.062957,0.154825,1
train,0.817227,0.267244,1
train,0.468943,0.491833,0
train,0.168319,0.692057,1
train,0.649068,0.368786,1
train,1.235379,0.101523,0
train,0.946342,0.202545,0
train,0.289418,0.615480,1
train,0.927931,0.211006,0
train,1.023393,0.169894,0
train,0.452264,0.503517,0
train,0.919176,0.215120,1
train,0.876194,0.236153,0
train,0.335663,0.584388,1
train,1.011004,0.174846,0
train,1.102353,0.140923,0
train,1.337373,0.078260,0
train,1.324211,0.080962,0
train,0.230049,0.654023,1
train,0.427979,0.520519,1
train,1.081766,0.148053,1
train,1.081204,0.148252,0
train,1.081771,0.148051,0
train,2.583729,0.002576,0
train,1.106901,0.139387,0
train,1.361005,0.073614,0
train,1.279301,0.090834,0
train,1.143126,0.127650,0
train,0.708129,0.331163,1
train,1.191536,0.113291,0
train,0.502229,0.468555,0
train,0.743432,0.309629,1
train,0.631586,0.380262,0
train,0.886843,0.230812,0
train,1.891596,0.017648,0
train,0.100000,0.731295,0
train,1.158817,0.122833,0
train,0.124278,0.717718,1
train,0.637631,0.376278,1
train,1.340028,0.077725,0
train,0.878926,0.234774,0
train,0.365015,0.564283,1
train,0.528113,0.450542,0
train,1.155819,0.123741,0
train,0.521335,0.455249,0
train,0.947406,0.202064,0
train,0.870507,0.239039,0
train,0.556780,0.430745,1
train,1.814775,0.021795,0
train,1.135264,0.130123,0
train,0.100000,0.731295,0
train,0.933904,0.208233,0
train,0.552196,0.433898,1
train,1.233595,0.101980,0
train,0.493366,0.474744,1
train,0.798369,0.277719,1
train,1.077244,0.149658,0
train,1.239590,0.100452,1
train,0.309867,0.601832,0
train,0.699474,0.336557,0
train,0.636275,0.377171,0
train,0.556002,0.431280,1
train,1.644454,0.034665,0
train,1.032242,0.166426,0
train,0.282602,0.619990,0
train,1.263038,0.094668,0
train,1.804970,0.022389,0
train,1.314609,0.082987,0
train,0.166284,0.693271,0
train,0.632095,0.379926,1
train,1.420110,0.063087,0
train,0.531549,0.448160,1
train,1.049719,0.159742,0
train,1.198585,0.111322,0
train,0.432881,0.517089,1
train,0.823214,0.263972,1
train,0.100000,0.731295,1
train,0.389026,0.547674,0
train,0.736344,0.313890,1
train,0.288498,0.616090,1
train,1.584585,0.040739,0
train,0.206436,0.668839,0
train,0.651980,0.366889,0
train,0.908833,0.220054,0
train,1.498573,0.051273,0
train,0.203862,0.670435,1
train,1.373424,0.071276,0
train,0.854605,0.247239,0
train,0.408321,0.534248,0
train,1.057947,0.156671,0
train,0.939577,0.205624,0
train,0.579902,0.414934,1
train,0.881411,0.233526,0
train,0.676609,0.351010,0
train,0.901083,0.223804,0
train,1.147959,0.126149,0
train,1.563708,0.043088,0
train,0.292983,0.613112,0
train,1.809865,0.022090,0
train,0.100000,0.731295,1
train,0.781697,0.287187,0
train,1.114743,0.136772,1
train,0.976446,0.189261,1
train,0.569785,0.421833,0
train,0.756345,0.301947,1
train,0.628150,0.382534,0
train,0.584786,0.411616,0
train,1.232321,0.102307,0
train,1.010657,0.174987,1
train,0.538191,0.443562,1
train,1.254820,0.096660,0
train,0.988285,0.184223,0
train,1.215788,0.106641,0
train,1.133333,0.130737,0
train,0.476952,0.486225,1
train,0.597919,0.402733,0
train,1.186282,0.114778,0
train,1.124667,0.133522,0
train,0.840594,0.254618,0
