split,hbar_s,pfail,label
train,1.349014,0.101004,0
train,1.158521,0.138647,0
train,1.394307,0.093502,0
train,1.656909,0.059120,0
train,1.129754,0.145259,0
train,1.129759,0.145258,1
train,1.673764,0.057375,0
train,1.430230,0.087912,1
train,1.059158,0.162597,0
train,1.362768,0.098671,0
train,1.060975,0.162131,0
train,1.060281,0.162308,0
train,1.272589,0.114877,0
train,0.626016,0.305444,0
train,0.682525,0.283298,0
train,1.031314,0.169880,0
train,0.896151,0.208933,0
train,1.294274,0.110780,0
train,0.927593,0.199294,0
train,0.776309,0.248772,0
train,1.639695,0.060954,0
train,1.132267,0.144672,1
train,1.220258,0.125308,0
train,0.772576,0.250091,1
train,1.036685,0.168455,0
train,1.233277,0.122640,0
train,0.854702,0.222158,0
train,1.312709,0.107399,0
train,1.019808,0.172964,1
train,1.112492,0.149352,0
train,1.019488,0.173051,0
train,1.755683,0.049563,0
train,1.195951,0.130424,0
train,0.882687,0.213165,1
train,1.446763,0.085442,0
train,0.833747,0.229068,0
train,1.262659,0.116796,0
train,0.612099,0.311045,0
train,0.801544,0.239977,0
train,1.259058,0.117499,0
train,1.421540,0.089236,0
train,1.251410,0.119004,0
train,1.165306,0.137125,0
train,1.109669,0.150030,0
train,0.756443,0.255845,0
train,0.984047,0.182834,0
train,1.061808,0.161917,0
train,1.517137,0.075618,0
train,1.303085,0.109153,0
train,0.671088,0.287701,0
train,1.297225,0.110233,0
train,1.084475,0.156195,0
train,0.996923,0.179231,0
train,1.383503,0.095245,0
train,1.509300,0.076658,0
train,1.479384,0.080752,0
train,0.948235,0.193150,0
train,1.107236,0.150616,0
train,1.299379,0.109835,0
train,1.492664,0.078911,0
train,1.056248,0.163346,0
train,1.144302,0.141883,0
train,0.868100,0.217819,1
train,0.841138,0.226613,0
train,1.443758,0.085886,0
train,1.606872,0.064597,0
train,1.178397,0.134227,0
train,1.501060,0.077766,0
train,1.308491,0.108164,0
train,1.006464,0.176597,0
train,1.308419,0.108178,0
train,1.661411,0.058649,0
train,1.189252,0.131864,0
train,1.669393,0.057823,0
train,0.414076,0.396161,0
train,1.446571,0.085470,0
train,1.226114,0.124102,0
train,1.110298,0.149879,1
train,1.227528,0.123812,0
train,0.603729,0.314440,0
train,1.134098,0.144244,0
train,1.307134,0.108412,0
train,1.643368,0.060558,0
train,1.044519,0.166394,0
train,0.957452,0.190453,0
train,1.049473,0.165101,0
train,1.474621,0.081422,0
train,1.298625,0.109974,0
train,1.041072,0.167299,1
train,1.353980,0.100156,0
train,1.229123,0.123486,1
train,1.490593,0.079195,0
train,0.989384,0.181334,0
train,1.101701,0.151958,0
train,1.082368,0.156720,0
train,0.760946,0.254230,0
train,1.288836,0.111795,0
train,1.278317,0.113782,0
train,1.201534,0.129233,1
train,1.129624,0.145290,0
train,0.775389,0.249096,0
train,1.073806,0.158867,0
train,1.097186,0.153059,0
train,0.959317,0.189911,0
train,1.151614,0.140211,0
train,1.321215,0.105869,0
train,1.765856,0.048667,0
train,1.252373,0.118814,0
train,1.277265,0.113982,0
train,1.177666,0.134388,1
train,0.624369,0.306104,0
train,1.192046,0.131262,0
train,1.218069,0.125762,0
train,1.938973,0.035584,0
train,1.142292,0.142346,0
train,1.290464,0.111491,0
train,1.189586,0.131792,0
train,0.849397,0.223893,0
train,1.542847,0.072295,0
train,1.425580,0.088618,0
train,1.437310,0.086846,0
train,0.927184,0.199417,0
train,1.620838,0.063023,0
train,0.779445,0.247667,0
train,1.376057,0.096463,0
train,1.857137,0.041282,0
train,0.902839,0.206855,1
train,1.030111,0.170201,0
train,1.229895,0.123328,0
train,1.048957,0.165235,0
train,0.734801,0.263699,0
train,1.220569,0.125244,0
train,0.881309,0.213601,0
train,1.342078,0.102199,0
train,0.924173,0.200326,0
train,1.664980,0.058278,0
train,0.965024,0.188259,0
train,1.103382,0.151549,0
train,1.444055,0.085842,0
train,0.830741,0.230071,0
train,1.268238,0.115714,0
train,1.592143,0.066298,0
train,0.717755,0.269993,0
train,1.255390,0.118219,0
train,1.277965,0.113849,0
train,1.434547,0.087261,0
train,0.828915,0.230682,1
train,0.803863,0.239180,0
train,1.356582,0.099715,0
train,1.289095,0.111747,0
train,1.275148,0.114387,0
train,1.303934,0.108997,0
train,0.995993,0.179489,0
train,1.269676,0.115437,1
train,1.287922,0.111967,0
train,0.985695,0.182370,0
train,1.759732,0.049204,0
train,1.342150,0.102187,0
train,0.842609,0.226127,0
train,1.396966,0.093078,0
train,0.907595,0.205386,0
train,1.436125,0.087024,0
train,1.547579,0.071698,0
train,0.953795,0.191520,0
train,1.489013,0.079413,0
train,1.323834,0.105402,0
train,1.446618,0.085463,0
train,1.769038,0.048389,0
train,1.126384,0.146051,0
train,0.973879,0.185719,1
train,0.933146,0.197627,1
train,0.955257,0.191093,0
train,1.176869,0.134563,1
train,1.302346,0.109288,0
train,1.283007,0.112892,0
train,1.448155,0.085237,0
train,1.203901,0.128731,0
train,1.636060,0.061347,0
train,1.120603,0.147417,0
train,2.016051,0.030915,0
train,1.387700,0.094565,0
train,0.942853,0.194738,0
train,0.878732,0.214419,1
train,1.344742,0.101739,0
train,1.132961,0.144510,0
train,1.414200,0.090368,1
train,1.341971,0.102218,1
train,1.178151,0.134281,0
train,0.945962,0.193819,1
train,0.745546,0.259780,0
train,1.066046,0.160835,1
train,1.456920,0.083955,0
train,1.264228,0.116491,0
train,0.826278,0.231566,0
train,1.251954,0.118897,0
train,1.315595,0.106878,0
train,0.934843,0.197120,0
train,1.246118,0.120056,0
train,1.217463,0.125888,0
train,0.857109,0.221374,0
train,1.307336,0.108375,0
train,1.368235,0.097758,0
train,1.524915,0.074598,0
train,1.516141,0.075749,0
train,0.786699,0.245125,0
train,0.918652,0.202001,0
train,1.354511,0.100066,1
train,1.354136,0.100130,0
train,1.354514,0.100066,0
train,2.355819,0.016522,0
train,1.371267,0.097254,0
train,1.540670,0.072571,0
train,1.486201,0.079802,0
train,1.395417,0.093325,0
train,1.105419,0.151056,0
train,1.427691,0.088297,0
train,0.968152,0.187359,0
train,1.128954,0.145447,1
train,1.054391,0.163826,0
train,1.224562,0.124420,0
train,1.894398,0.038587,0
train,0.639820,0.299945,0
train,1.405878,0.091668,0
train,0.716185,0.270577,0
train,1.058420,0.162787,1
train,1.526685,0.074368,0
train,1.219284,0.125510,0
train,0.876677,0.215073,0
train,0.985409,0.182450,0
train,1.403879,0.091982,0
train,0.980890,0.183726,0
train,1.264938,0.116353,0
train,1.213672,0.126677,0
train,1.004520,0.177131,1
train,1.843183,0.042337,0
train,1.390176,0.094165,0
train,0.592457,0.319044,1
train,1.255936,0.118112,0
train,1.001464,0.177973,1
train,1.455730,0.084128,0
train,0.962244,0.189063,1
train,1.165579,0.137064,1
train,1.351496,0.100580,0
train,1.459727,0.083549,1
train,0.839911,0.227019,0
train,1.099650,0.152457,0
train,1.057516,0.163019,0
