split,hbar_s,pfail,label
train,1.299014,0.108468,0
train,1.108521,0.151192,0
train,1.344307,0.100010,0
train,1.606909,0.061652,0
train,1.079754,0.158729,1
train,1.079759,0.158728,1
train,1.623764,0.059729,0
train,1.380230,0.093723,1
train,1.009158,0.178515,0
train,1.312768,0.105835,0
train,1.010975,0.177982,0
train,1.010281,0.178185,0
train,1.222589,0.124167,0
train,0.576016,0.340813,1
train,0.632525,0.315884,0
train,0.981314,0.186833,0
train,0.846151,0.231432,0
train,1.244274,0.119525,0
train,0.877593,0.220430,0
train,0.726309,0.276793,0
train,1.589695,0.063675,0
train,1.082267,0.158059,1
train,1.170258,0.136011,0
train,0.722576,0.278291,1
train,0.986685,0.185205,0
train,1.183277,0.132979,0
train,0.804702,0.246512,0
train,1.262709,0.115696,0
train,0.969808,0.190356,1
train,1.062492,0.163397,0
train,0.969488,0.190455,0
train,1.705683,0.051160,0
train,1.145951,0.141829,0
train,0.832687,0.236259,1
train,1.396763,0.090950,0
train,0.783747,0.254384,0
train,1.212659,0.126345,0
train,0.562099,0.347098,0
train,0.751544,0.266799,0
train,1.209058,0.127142,0
train,1.371540,0.095210,0
train,1.201410,0.128850,0
train,1.115306,0.149458,1
train,1.059669,0.164170,1
train,0.706443,0.284821,0
train,0.934047,0.201630,0
train,1.011808,0.177738,0
train,1.467137,0.079958,0
train,1.253085,0.117681,0
train,0.621088,0.320851,0
train,1.247225,0.118905,0
train,1.034475,0.171206,0
train,0.946923,0.197514,0
train,1.333503,0.101973,0
train,1.459300,0.081120,0
train,1.429384,0.085695,0
train,0.898235,0.213413,0
train,1.057236,0.164839,0
train,1.249379,0.118454,0
train,1.442664,0.083636,0
train,1.006248,0.179370,0
train,1.094302,0.154880,0
train,0.818100,0.241566,1
train,0.791138,0.251589,0
train,1.393758,0.091449,0
train,1.556872,0.067705,0
train,1.128397,0.146158,0
train,1.451060,0.082357,0
train,1.258491,0.116563,0
train,0.956464,0.194506,0
train,1.258419,0.116578,0
train,1.611411,0.061133,0
train,1.139252,0.143468,0
train,1.619393,0.060222,0
train,0.364076,0.441382,0
train,1.396571,0.090982,0
train,1.176114,0.134640,0
train,1.060298,0.163998,1
train,1.177528,0.134310,0
train,0.553729,0.350903,0
train,1.084098,0.157572,0
train,1.257134,0.116843,0
train,1.593368,0.063238,0
train,0.994519,0.182851,0
train,0.907452,0.210334,0
train,0.999473,0.181375,0
train,1.424621,0.086445,0
train,1.248625,0.118611,0
train,0.991072,0.183884,1
train,1.303980,0.107511,0
train,1.179123,0.133940,1
train,1.440593,0.083954,0
train,0.939384,0.199917,0
train,1.051701,0.166370,0
train,1.032368,0.171805,0
train,0.710946,0.282989,0
train,1.238836,0.120675,0
train,1.228317,0.122926,0
train,1.151534,0.140474,1
train,1.079624,0.158764,0
train,0.725389,0.277162,0
train,1.023806,0.174256,0
train,1.047186,0.167627,0
train,0.909317,0.209714,0
train,1.101614,0.152975,0
train,1.271215,0.113966,0
train,1.715856,0.050181,0
train,1.202373,0.128634,0
train,1.227265,0.123153,0
train,1.127666,0.146341,1
train,0.574369,0.341554,0
train,1.142046,0.142783,0
train,1.168069,0.136527,0
train,1.888973,0.036018,0
train,1.092292,0.155408,0
train,1.240464,0.120329,0
train,1.139586,0.143386,0
train,0.799397,0.248490,0
train,1.492847,0.076254,0
train,1.375580,0.094516,0
train,1.387310,0.092526,0
train,0.877184,0.220570,0
train,1.570838,0.065962,0
train,0.729445,0.275538,0
train,1.326057,0.103345,0
train,1.807137,0.042156,0
train,0.852839,0.229060,1
train,0.980111,0.187199,0
train,1.179895,0.133761,0
train,0.998957,0.181528,0
train,0.684801,0.293724,0
train,1.170569,0.135938,0
train,0.831309,0.236757,0
train,1.292078,0.109818,0
train,0.874173,0.221608,0
train,1.614980,0.060724,0
train,0.915024,0.207828,0
train,1.053382,0.165904,0
train,1.394055,0.091399,0
train,0.780741,0.255527,0
train,1.218238,0.125117,0
train,1.542143,0.069590,0
train,0.667755,0.300850,0
train,1.205390,0.127959,0
train,1.227965,0.123002,0
train,1.384547,0.092992,0
train,0.778915,0.256222,1
train,0.753863,0.265892,0
train,1.306582,0.107013,0
train,1.239095,0.120620,0
train,1.225148,0.123612,0
train,1.253934,0.117505,0
train,0.945993,0.197810,0
train,1.219676,0.124803,1
train,1.237922,0.120869,0
train,0.935695,0.201100,0
train,1.709732,0.050768,0
train,1.292150,0.109804,0
train,0.792609,0.251035,0
train,1.346966,0.099532,0
train,0.857595,0.227383,0
train,1.386125,0.092726,0
train,1.497579,0.075590,0
train,0.903795,0.211551,0
train,1.439013,0.084197,0
train,1.273834,0.113438,0
train,1.396618,0.090974,0
train,1.719038,0.049878,0
train,1.076384,0.159632,0
train,0.923879,0.204926,1
train,0.883146,0.218526,1
train,0.905257,0.211064,0
train,1.126869,0.146540,1
train,1.252346,0.117835,0
train,1.233007,0.121918,0
train,1.398155,0.090720,0
train,1.153901,0.139904,0
train,1.586060,0.064110,0
train,1.070603,0.161190,0
train,1.966051,0.031029,0
train,1.337700,0.101206,0
train,0.892853,0.215227,0
train,0.828732,0.237690,1
train,1.294742,0.109298,0
train,1.082961,0.157874,0
train,1.364200,0.096483,1
train,1.291971,0.109839,1
train,1.128151,0.146220,0
train,0.895962,0.214178,1
train,0.695546,0.289284,0
train,1.016046,0.176503,1
train,1.406920,0.089284,0
train,1.214228,0.125998,0
train,0.776278,0.257229,0
train,1.201954,0.128728,0
train,1.265595,0.115107,0
train,0.884843,0.217947,0
train,1.196118,0.130044,0
train,1.167463,0.136670,0
train,0.807109,0.245619,0
train,1.257336,0.116801,0
train,1.318235,0.104805,0
train,1.474915,0.078821,0
train,1.466141,0.080105,0
train,0.736699,0.272650,0
train,0.868652,0.223519,0
train,1.304511,0.107409,1
train,1.304136,0.107481,0
train,1.304514,0.107409,0
train,2.305819,0.015966,0
train,1.321267,0.104237,0
train,1.490670,0.076562,0
train,1.436201,0.084632,0
train,1.345417,0.099810,0
train,1.055419,0.165340,0
train,1.377691,0.094155,0
train,0.918152,0.206799,0
train,1.078954,0.158943,1
train,1.004391,0.179918,0
train,1.174562,0.135002,0
train,1.844398,0.039246,0
train,0.589820,0.334635,0
train,1.355878,0.097945,0
train,0.666185,0.301511,0
train,1.008420,0.178731,1
train,1.476685,0.078564,0
train,1.169284,0.136240,0
train,0.826677,0.238436,0
train,0.935409,0.201192,0
train,1.353879,0.098299,0
train,0.930890,0.202649,0
train,1.214938,0.125842,0
train,1.163672,0.137567,0
train,0.954520,0.195116,1
train,1.793183,0.043298,0
train,1.340176,0.100756,0
train,0.542457,0.356058,1
train,1.205936,0.127837,0
train,0.951464,0.196078,1
train,1.405730,0.089477,0
train,0.912244,0.208745,1
train,1.115579,0.149389,1
train,1.301496,0.107989,0
train,1.409727,0.088828,1
train,0.789911,0.252051,0
train,1.049650,0.166940,0
train,1.007516,0.178997,0
train,0.954001,0.195279,0
train,1.679636,0.053751,0
train,1.271495,0.113910,0
train,0.771735,0.258970,1
train,1.425359,0.086328,0
train,1.786647,0.043844,0
train,1.459740,0.081054,0
train,0.694189,0.289842,1
train,1.004730,0.179818,1
train,1.530073,0.071170,0
train,0.937699,0.200456,1
train,1.283146,0.111578,0
train,1.382390,0.093356,0
train,0.871921,0.222386,0
train,1.132142,0.145226,0
train,0.177620,0.534338,0
train,0.842684,0.232668,0
train,1.074230,0.160211,0
train,0.775665,0.257464,0
train,1.639723,0.057961,0
train,0.720958,0.278942,1
train,1.017987,0.175939,0
train,1.189222,0.131613,0
train,1.582382,0.064553,0
train,0.719241,0.279633,0
train,1.498949,0.075398,0
train,1.153070,0.140104,0
train,0.855547,0.228104,0
train,1.288631,0.110494,0
train,1.209718,0.126996,0
train,0.969935,0.190317,1
train,1.170941,0.135851,0
train,1.034406,0.171225,0
train,1.184055,0.132799,0
train,1.348639,0.099232,0
train,1.625805,0.059500,0
train,0.778655,0.256321,0
train,1.789910,0.043571,0
train,0.564374,0.346067,0
train,1.104464,0.152237,0
train,1.326495,0.103264,1
train,1.234298,0.121642,1
train,0.963190,0.192405,0
train,1.087563,0.156654,0
train,1.002100,0.180596,0
train,0.973191,0.189315,0
train,1.404881,0.089616,0
train,1.257105,0.116849,1
train,0.942127,0.199040,1
train,1.419880,0.087197,0
train,1.242190,0.119964,0
train,1.393859,0.091432,0
train,1.338889,0.100990,0
train,0.901301,0.212385,0
train,0.981946,0.186641,0
train,1.374188,0.094755,0
train,1.333111,0.102044,0
train,1.143730,0.142371,0
train,1.185198,0.132536,1
train,1.533299,0.070744,0
train,0.972529,0.189518,0
train,1.314129,0.105578,0
train,1.089342,0.156184,0
train,1.084696,0.157413,0
train,1.479633,0.078138,0
train,1.397625,0.090808,0
train,1.394053,0.091400,0
train,1.541644,0.069654,0
train,1.156301,0.139327,0
train,1.354586,0.098173,0
train,1.056920,0.164926,0
train,1.247250,0.118899,0
train,1.110957,0.150568,0
train,1.179099,0.133945,0
train,1.328547,0.102884,0
train,0.904534,0.211305,1
train,1.777716,0.044599,0
train,0.848195,0.230705,1
train,0.785743,0.253627,0
train,1.497433,0.075610,0
train,1.387499,0.092495,0
train,1.337236,0.101290,0
train,1.338504,0.101060,0
train,1.146326,0.141738,0
train,0.880824,0.219321,0
train,1.172741,0.135428,0
train,0.946851,0.197537,1
train,1.442536,0.083655,0
train,1.105883,0.151871,0
train,0.902351,0.212034,0
train,1.053584,0.165848,1
train,1.273879,0.113429,0
train,0.980883,0.186964,0
train,0.903334,0.211706,1
train,1.223106,0.124055,0
train,1.223490,0.123971,0
train,0.997917,0.181837,0
train,1.008689,0.178653,0
train,1.219615,0.124816,0
train,0.715575,0.281113,0
train,0.727761,0.276212,1
train,0.934467,0.201495,0
train,1.085966,0.157076,0
train,1.243272,0.119736,0
train,1.592607,0.063329,0
train,1.407298,0.089222,0
train,1.102018,0.152870,0
train,1.144295,0.142233,0
train,0.849241,0.230333,0
train,1.144446,0.142196,0
train,1.063402,0.163148,0
train,1.246816,0.118990,1
train,0.901831,0.212208,0
train,1.305804,0.107162,0
train,1.609822,0.061316,0
train,1.117372,0.148933,0
train,1.270514,0.114108,0
train,1.357043,0.097739,0
train,1.029634,0.172585,1
train,1.217228,0.125339,0
train,1.153778,0.139933,0
train,1.179303,0.133898,0
train,0.918097,0.206817,1
train,1.157353,0.139074,0
train,1.299399,0.108394,0
train,1.585343,0.064196,0
train,1.437781,0.084388,0
train,1.795955,0.043069,0
train,0.919796,0.206260,0
train,1.411696,0.088509,0
train,1.205003,0.128045,1
train,1.806941,0.042172,0
train,0.907511,0.210314,1
train,0.898083,0.213464,1
train,0.970182,0.190241,0
train,0.512831,0.369764,0
train,0.992273,0.183524,0
train,0.922260,0.205454,0
train,1.195118,0.130270,0
train,1.252527,0.117798,0
train,1.712851,0.050468,0
train,1.435127,0.084799,0
train,0.976929,0.188170,0
train,0.880476,0.219440,1
train,1.297576,0.108747,0
train,0.753930,0.265866,0
train,1.699438,0.051770,0
train,1.503832,0.074720,0
train,1.009247,0.178489,0
train,0.636060,0.314357,1
train,1.556162,0.067795,0
train,1.115638,0.149374,0
train,1.521345,0.072333,0
train,0.671672,0.299204,0
train,0.970187,0.190239,1
train,1.151573,0.140465,0
train,1.164094,0.137467,0
train,1.014980,0.176813,0
train,1.336855,0.101360,0
train,0.829714,0.237334,1
train,1.107286,0.151510,0
train,1.186089,0.132331,0
train,1.304332,0.107444,0
train,1.363484,0.096608,0
train,0.812607,0.243586,1
train,0.689766,0.291668,0
train,1.533303,0.070744,0
train,1.249694,0.118388,0
train,0.925454,0.204413,1
train,1.615346,0.060682,0
train,1.184702,0.132650,0
train,1.503789,0.074726,0
train,1.170256,0.136012,0
train,1.768224,0.045415,0
train,1.676602,0.054060,0
train,1.075311,0.159920,0
train,1.441471,0.083819,0
train,1.343613,0.100135,0
train,1.560589,0.067237,0
train,0.860523,0.226356,0
train,1.355815,0.097956,0
train,1.467527,0.079901,0
train,0.622378,0.320288,0
train,0.795022,0.250128,0
train,0.538230,0.357999,1
train,1.069178,0.161576,0
train,1.365263,0.096298,0
train,1.600707,0.062374,0
train,1.172228,0.135548,0
train,1.638585,0.058085,0
train,0.735970,0.272940,1
train,0.638985,0.313097,0
train,1.133336,0.144929,0
train,1.265220,0.115183,0
train,1.140192,0.143237,1
train,0.529767,0.361901,0
train,1.123264,0.147445,0
train,0.758659,0.264023,0
train,1.350902,0.098828,0
train,1.259979,0.116257,0
train,0.868036,0.223734,1
train,0.995840,0.182457,0
train,0.832236,0.236422,0
train,1.131196,0.145461,0
train,1.436543,0.084579,0
train,0.854282,0.228550,0
train,1.301214,0.108044,0
train,0.990923,0.183929,0
train,0.912138,0.208780,0
train,1.117891,0.148802,0
train,0.839427,0.233833,1
train,0.983905,0.186046,1
train,0.790637,0.251778,0
train,1.739418,0.047981,0
train,1.160579,0.138303,0
train,0.940082,0.199693,0
train,1.214194,0.126006,0
train,1.116302,0.149205,0
train,1.083709,0.157675,0
train,1.334250,0.101836,0
train,1.377252,0.094230,0
train,0.990850,0.183951,0
train,0.977255,0.188070,0
train,1.067484,0.162035,0
train,0.459424,0.394997,1
train,0.695443,0.289326,0
train,1.560062,0.067303,0
train,1.643490,0.057550,0
train,1.075289,0.159926,0
train,1.322967,0.103919,0
train,1.243375,0.119714,0
train,2.073664,0.025169,0
train,1.485872,0.077243,0
train,1.111625,0.150397,0
train,0.863338,0.225371,0
train,0.668066,0.300719,0
train,1.211039,0.126703,0
train,0.923095,0.205181,0
train,0.723324,0.277990,0
train,0.956028,0.194642,0
train,0.825536,0.238851,0
train,1.656142,0.056192,0
train,1.414492,0.088059,1
train,1.147608,0.141426,0
train,1.593983,0.063165,0
train,1.173210,0.135318,0
train,0.891615,0.215646,1
train,1.606937,0.061649,0
train,1.311673,0.106043,0
train,0.838826,0.234049,1
train,1.092898,0.155248,0
train,0.887315,0.217105,0
train,0.735160,0.273261,0
train,1.427853,0.085936,0
train,1.722825,0.049521,0
train,0.730430,0.275145,0
train,1.318891,0.104682,0
train,0.954807,0.195026,0
train,1.003862,0.180074,0
train,0.972282,0.189594,0
train,0.890803,0.215921,1
train,1.164556,0.137357,0
train,0.900715,0.212581,0
train,1.231137,0.122319,0
train,1.134929,0.144535,1
train,1.078316,0.159114,0
train,0.877731,0.220382,0
train,0.976969,0.188157,0
train,1.376617,0.094339,0
train,1.300275,0.108225,0
train,0.856733,0.227686,0
train,1.179800,0.133783,0
train,1.375416,0.094544,1
train,0.649178,0.308727,0
train,1.313008,0.105790,0
train,0.951213,0.196157,0
train,1.321180,0.104253,0
train,0.921022,0.205859,0
train,0.608535,0.326349,0
train,0.661737,0.303389,0
train,1.164425,0.137388,1
train,1.227917,0.123013,1
train,0.878705,0.220047,0
train,1.341578,0.100502,0
train,0.651544,0.307717,1
train,1.130176,0.145715,0
train,0.786695,0.253266,1
train,0.954449,0.195138,0
train,1.164220,0.137437,0
train,0.891876,0.215557,0
train,1.034633,0.171161,0
train,1.451888,0.082232,0
train,0.976932,0.188168,0
train,1.400708,0.090300,0
train,0.811088,0.244146,0
train,1.308941,0.106562,0
train,1.582471,0.064542,0
train,0.408507,0.419588,0
train,0.910931,0.209179,1
train,1.323122,0.103891,0
train,1.089086,0.156251,0
train,1.261344,0.115976,1
train,0.968804,0.190666,0
train,1.175977,0.134672,0
train,1.103297,0.152539,0
train,1.500335,0.075205,0
train,1.226326,0.123356,0
train,1.251281,0.118057,1
train,1.026437,0.173500,0
train,1.003718,0.180117,0
train,1.020233,0.175288,0
train,1.268336,0.114550,0
train,1.023705,0.174286,0
train,1.236932,0.121079,0
train,1.772620,0.045035,0
train,1.411337,0.088567,0
train,1.052193,0.166233,0
train,1.510364,0.073821,0
train,1.027577,0.173173,0
train,0.538563,0.357847,0
train,0.847574,0.230925,1
train,0.588762,0.335106,1
train,1.044546,0.168365,0
train,1.155526,0.139513,0
train,1.652931,0.056534,0
