split,hbar_s,pfail,label
train,1.148686,0.129328,0
train,0.894694,0.200197,0
train,1.209075,0.115987,0
train,1.559212,0.060065,0
train,0.856339,0.213113,1
train,0.856345,0.213111,1
train,1.581685,0.057510,0
train,1.256974,0.106271,1
train,0.762210,0.247338,0
train,1.167024,0.125144,0
train,0.764633,0.246412,0
train,0.763708,0.246765,0
train,1.046785,0.154785,0
train,0.184688,0.518421,1
train,0.260033,0.479739,0
train,0.725085,0.261809,0
train,0.544868,0.339324,0
train,1.075699,0.147172,0
train,0.586790,0.320289,0
train,0.385079,0.416294,0
train,1.536260,0.062783,0
train,0.859689,0.211961,1
train,0.977011,0.174481,0
train,0.380101,0.418781,1
train,0.732247,0.258976,0
train,0.994369,0.169404,0
train,0.489603,0.365224,0
train,1.100279,0.140945,0
train,0.709745,0.267946,1
train,0.833323,0.221151,0
train,0.709317,0.268119,0
train,1.690911,0.046487,0
train,0.944601,0.184282,0
train,0.526916,0.347641,1
train,1.279018,0.102046,0
train,0.461663,0.378632,0
train,1.033545,0.158378,0
train,0.166132,0.527931,1
train,0.418726,0.399598,0
train,1.028744,0.159697,0
train,1.245387,0.108554,0
train,1.018547,0.162529,0
train,0.903741,0.197237,1
train,0.829559,0.222486,1
train,0.358591,0.429575,0
train,0.662062,0.287594,0
train,0.765744,0.245988,0
train,1.372849,0.085686,0
train,1.087447,0.144168,0
train,0.244784,0.487563,0
train,1.079634,0.146160,0
train,0.795967,0.234653,0
train,0.679231,0.280421,0
train,1.194671,0.119056,0
train,1.362400,0.087383,0
train,1.322512,0.094144,0
train,0.614313,0.308105,0
train,0.826315,0.223641,0
train,1.082505,0.145425,0
train,1.340218,0.091087,0
train,0.758330,0.248825,1
train,0.875736,0.206506,0
train,0.507466,0.356758,1
train,0.471517,0.373881,0
train,1.275010,0.102803,0
train,1.492496,0.068287,0
train,0.921196,0.191620,0
train,1.351413,0.089200,0
train,1.094654,0.142350,0
train,0.691952,0.275178,0
train,1.094558,0.142375,0
train,1.565215,0.059372,0
train,0.935670,0.187056,1
train,1.575857,0.058163,0
train,0.100000,0.561614,0
train,1.278761,0.102094,0
train,0.984819,0.172183,0
train,0.830397,0.222188,1
train,0.986704,0.171631,0
train,0.154972,0.533641,1
train,0.862131,0.211124,0
train,1.092845,0.142805,0
train,1.541158,0.062194,0
train,0.742692,0.254878,1
train,0.626603,0.302749,0
train,0.749297,0.252310,0
train,1.316161,0.095262,0
train,1.081500,0.145682,0
train,0.738096,0.256676,1
train,1.155307,0.127804,0
train,0.988831,0.171011,1
train,1.337458,0.091557,0
train,0.669179,0.284608,0
train,0.818935,0.226285,0
train,0.793157,0.235692,1
train,0.364594,0.426555,1
train,1.068448,0.149051,0
train,1.054422,0.152744,0
train,0.952045,0.181994,1
train,0.856165,0.213173,0
train,0.383852,0.416906,0
train,0.781742,0.239943,0
train,0.812914,0.228458,0
train,0.629089,0.301671,0
train,0.885486,0.203243,0
train,1.111620,0.138148,0
train,1.704474,0.045268,0
train,1.019831,0.162170,0
train,1.053020,0.153117,0
train,0.920222,0.191931,1
train,0.182492,0.519547,0
train,0.939394,0.185895,0
train,0.974092,0.175347,0
train,1.935297,0.028662,0
train,0.873056,0.207410,0
train,1.070619,0.148487,0
train,0.936115,0.186917,0
train,0.482529,0.368600,0
train,1.407129,0.080327,0
train,1.250773,0.107488,0
train,1.266413,0.104444,0
train,0.586245,0.320533,0
train,1.511118,0.065892,0
train,0.389260,0.414208,0
train,1.184743,0.121212,0
train,1.826182,0.035609,0
train,0.553785,0.335228,1
train,0.723481,0.262447,0
train,0.989861,0.170711,0
train,0.748610,0.252576,0
train,0.329735,0.444160,0
train,0.977425,0.174359,0
train,0.525079,0.348497,0
train,1.139437,0.131483,0
train,0.582230,0.322332,0
train,1.569974,0.058829,0
train,0.636699,0.298388,0
train,0.821175,0.225480,0
train,1.275407,0.102728,0
train,0.457654,0.380572,0
train,1.040984,0.156351,0
train,1.472857,0.070899,0
train,0.307007,0.455716,0
train,1.023854,0.161050,0
train,1.053953,0.152868,0
train,1.262729,0.105154,0
train,0.455220,0.381752,1
train,0.421817,0.398075,0
train,1.158777,0.127011,0
train,1.068794,0.148961,0
train,1.050197,0.153870,0
train,1.088579,0.143881,0
train,0.677990,0.280936,0
train,1.042901,0.155832,1
train,1.067229,0.149369,0
train,0.664259,0.286670,0
train,1.696310,0.045998,0
train,1.139533,0.131460,0
train,0.473479,0.372938,0
train,1.212621,0.115242,0
train,0.560127,0.332331,0
train,1.264834,0.104747,0
train,1.413438,0.079374,0
train,0.621727,0.304867,0
train,1.335350,0.091918,0
train,1.115112,0.137296,0
train,1.278824,0.102082,0
train,1.708717,0.044892,0
train,0.851845,0.214666,0
train,0.648506,0.293334,1
train,0.594194,0.316986,1
train,0.623676,0.304019,0
train,0.919159,0.192269,1
train,1.086461,0.144418,0
train,1.060676,0.151088,0
train,1.280873,0.101697,0
train,0.955201,0.181030,0
train,1.531414,0.063372,0
train,0.844137,0.217348,0
train,2.038068,0.023334,0
train,1.200267,0.117856,0
train,0.607137,0.311257,0
train,0.521643,0.350102,1
train,1.142989,0.130651,0
train,0.860615,0.211644,0
train,1.235600,0.110515,1
train,1.139295,0.131516,1
train,0.920868,0.191725,1
train,0.611283,0.309434,1
train,0.344061,0.436905,0
train,0.771394,0.243842,1
train,1.292560,0.099524,0
train,1.035637,0.157806,0
train,0.451704,0.383458,0
train,1.019272,0.162326,0
train,1.104127,0.139991,0
train,0.596457,0.315981,1
train,1.011490,0.164512,0
train,0.973283,0.175587,0
train,0.492812,0.363696,0
train,1.093115,0.142737,0
train,1.174314,0.123513,0
train,1.383220,0.084031,0
train,1.371521,0.085900,0
train,0.398932,0.409394,0
train,0.574870,0.325644,0
train,1.156014,0.127642,1
train,1.155514,0.127756,0
train,1.156019,0.127641,0
train,2.491093,0.009331,0
train,1.178356,0.122617,0
train,1.404226,0.080769,0
train,1.331601,0.092563,0
train,1.210557,0.115675,0
train,0.823892,0.224507,0
train,1.253588,0.106934,0
train,0.640870,0.296597,0
train,0.855273,0.213481,1
train,0.755855,0.249777,0
train,0.982750,0.172790,0
train,1.875863,0.032265,0
train,0.203094,0.508974,1
train,1.224504,0.112776,0
train,0.304914,0.456783,0
train,0.761227,0.247714,1
train,1.385580,0.083659,0
train,0.975712,0.174866,0
train,0.518902,0.351384,0
train,0.663879,0.286830,0
train,1.221839,0.113325,0
train,0.657853,0.289369,0
train,1.036583,0.157547,0
train,0.968229,0.177096,0
train,0.689360,0.276241,1
train,1.807578,0.036945,0
train,1.203568,0.117152,0
train,0.139943,0.541318,1
train,1.024582,0.160848,0
train,0.685285,0.277918,1
train,1.290973,0.099817,0
train,0.632992,0.299985,1
train,0.904105,0.197119,1
train,1.151995,0.128564,0
train,1.296302,0.098837,1
train,0.469881,0.374668,0
train,0.816200,0.227270,0
train,0.760022,0.248176,0
train,0.688668,0.276525,0
train,1.656182,0.049755,0
train,1.111993,0.138057,0
train,0.445646,0.386405,1
train,1.317145,0.095088,0
train,1.798862,0.037588,0
train,1.362986,0.087287,0
train,0.342252,0.437820,1
train,0.756306,0.249603,1
train,1.456764,0.073108,0
train,0.666932,0.285548,1
train,1.127528,0.134302,0
train,1.259854,0.105711,0
train,0.579228,0.323681,0
train,0.926190,0.190036,0
train,0.100000,0.561614,0
train,0.540245,0.341456,1
train,0.848973,0.215662,0
train,0.450887,0.383855,0
train,1.602965,0.055186,0
train,0.377943,0.419860,1
train,0.773982,0.242862,0
train,1.002296,0.167125,0
train,1.526509,0.063972,0
train,0.375655,0.421006,0
train,1.415266,0.079101,0
train,0.954093,0.181368,0
train,0.557397,0.333577,1
train,1.134841,0.132565,0
train,1.029624,0.159455,0
train,0.709913,0.267878,1
train,0.977921,0.174212,0
train,0.795875,0.234687,0
train,0.995407,0.169104,0
train,1.214852,0.114776,0
train,1.584407,0.057208,0
train,0.454874,0.381920,1
train,1.803213,0.037265,0
train,0.169165,0.526378,0
