split,hbar_s,pfail,label
train,1.273850,0.110936,0
train,1.051607,0.163153,0
train,1.326691,0.100895,0
train,1.633060,0.057189,0
train,1.018046,0.172564,1
train,1.018052,0.172562,1
train,1.652724,0.055097,0
train,1.368602,0.093513,1
train,0.935684,0.197470,0
train,1.289896,0.107798,0
train,0.937804,0.196796,0
train,0.936995,0.197053,0
train,1.184687,0.129862,0
train,0.430352,0.404324,1
train,0.496279,0.372885,0
train,0.903199,0.208011,0
train,0.745509,0.264966,0
train,1.209987,0.124229,0
train,0.782192,0.250871,0
train,0.605694,0.323099,0
train,1.612977,0.059402,0
train,1.020978,0.171725,1
train,1.123635,0.144354,0
train,0.601338,0.325015,1
train,0.909466,0.205946,0
train,1.138823,0.140628,0
train,0.697152,0.284304,0
train,1.231494,0.119606,0
train,0.889776,0.212487,1
train,0.997907,0.178415,0
train,0.889403,0.212612,0
train,1.748297,0.045918,0
train,1.095276,0.151531,0
train,0.729801,0.271155,1
train,1.387891,0.090281,0
train,0.672705,0.294397,0
train,1.173102,0.132513,0
train,0.414115,0.412200,0
train,0.635135,0.310307,0
train,1.168901,0.133486,0
train,1.358463,0.095253,0
train,1.159979,0.135572,0
train,1.059523,0.160994,1
train,0.994614,0.179386,1
train,0.582517,0.333360,0
train,0.848055,0.226843,0
train,0.938776,0.196488,0
train,1.469993,0.077624,0
train,1.220266,0.122000,0
train,0.482936,0.379171,0
train,1.213429,0.123479,0
train,0.965221,0.188239,0
train,0.863077,0.221596,0
train,1.314087,0.103214,0
train,1.460850,0.078949,0
train,1.425948,0.084198,0
train,0.806274,0.241893,0
train,0.991776,0.180226,0
train,1.215942,0.122934,0
train,1.441441,0.081830,0
train,0.932289,0.198553,0
train,1.035019,0.167752,0
train,0.712783,0.277961,1
train,0.681328,0.290813,0
train,1.384384,0.090861,0
train,1.574684,0.063847,0
train,1.074796,0.156894,0
train,1.451237,0.080364,0
train,1.226573,0.120650,0
train,0.874208,0.217765,0
train,1.226488,0.120668,0
train,1.638313,0.056623,0
train,1.087461,0.153560,0
train,1.647625,0.055632,0
train,0.183089,0.527228,0
train,1.387666,0.090318,0
train,1.130466,0.142668,0
train,0.995347,0.179169,1
