Prompt Pair,Vectorizer,Foundation Model,CosSim,Δμ_model,ℏₛ_model,Collapse?,Correlates?
P1 vs P2,all-MiniLM-L6-v2,gpt-4,0.541,0.917,0.573,❌,❌
P1 vs P3,all-MiniLM-L6-v2,gpt-4,0.565,0.638,0.594,❌,❌
P1 vs P4,all-MiniLM-L6-v2,gpt-4,0.562,0.554,0.582,❌,❌
P1 vs P5,all-MiniLM-L6-v2,gpt-4,0.476,0.699,0.597,❌,❌
P1 vs P6,all-MiniLM-L6-v2,gpt-4,0.451,0.753,0.597,❌,❌
P1 vs P7,all-MiniLM-L6-v2,gpt-4,0.504,0.656,0.596,❌,❌
P1 vs P8,all-MiniLM-L6-v2,gpt-4,0.489,0.822,0.591,❌,❌
P1 vs P9,all-MiniLM-L6-v2,gpt-4,0.509,0.681,0.597,❌,❌
P2 vs P3,all-MiniLM-L6-v2,gpt-4,0.579,0.709,0.598,❌,❌
P2 vs P4,all-MiniLM-L6-v2,gpt-4,0.588,0.496,0.569,❌,❌
P2 vs P5,all-MiniLM-L6-v2,gpt-4,0.529,0.706,0.598,❌,❌
P2 vs P6,all-MiniLM-L6-v2,gpt-4,0.483,0.794,0.594,❌,❌
P2 vs P7,all-MiniLM-L6-v2,gpt-4,0.561,1.169,0.461,❌,❌
P2 vs P8,all-MiniLM-L6-v2,gpt-4,0.608,0.608,0.591,❌,❌
P2 vs P9,all-MiniLM-L6-v2,gpt-4,0.565,0.615,0.592,❌,❌
P3 vs P4,all-MiniLM-L6-v2,gpt-4,0.606,0.595,0.589,❌,❌
P3 vs P5,all-MiniLM-L6-v2,gpt-4,0.549,0.653,0.595,❌,❌
P3 vs P6,all-MiniLM-L6-v2,gpt-4,0.541,0.729,0.597,❌,❌
P3 vs P7,all-MiniLM-L6-v2,gpt-4,0.540,0.700,0.598,❌,❌
P3 vs P8,all-MiniLM-L6-v2,gpt-4,0.562,0.570,0.585,❌,❌
