model,prompt,category,tier,raw_hbar_s,raw_delta_mu,raw_delta_sigma,hbar_s,delta_mu,delta_sigma,confidence_flag,latency_ms,latency_compliant,model_semantic_capacity,prompt_complexity_score,uncertainty_amplification,collapse_risk,risk_level,recommendations,response
gpt4,What is the capital of France?,basic_facts,1,0.2310451622579534,0.9319102715368184,0.057282196186948006,0.27358892849834227,0.736675069649855,0.1,⚠️,3.1889530073385686,True,0.92,0.1,1.008,False,MEDIUM,[],Let me think about this carefully. Paris is the capital of France.
claude3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.27920360098000374,0.7626753662257322,0.1,⚠️,3.1839330040384084,True,0.89,0.1,1.011,False,MEDIUM,[],I appreciate this question. Paris is the capital of France.
gemini_2.5_pro,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.2700504436601707,0.7106747730739778,0.1,⚠️,3.1862150062806904,True,0.87,0.1,1.013,False,MEDIUM,[],This is an interesting inquiry. Paris is the capital of France.
gemini,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.2675267570031266,0.693341242023393,0.1,⚠️,3.1402879976667464,True,0.84,0.1,1.016,False,MEDIUM,[],"Based on my knowledge, Paris is the capital of France."
openai_o3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.28532252557773324,0.8060091938521943,0.1,✅,3.1145619868766516,True,0.95,0.1,1.005,False,MEDIUM,[],"After careful reasoning, Paris is the capital of France."
grok3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.259796525923772,0.6500074143969309,0.1,⚠️,3.1134270248003304,True,0.81,0.1,1.019,False,MEDIUM,[],"Well, this is fascinating! Paris is the capital of France."
gemini_flash,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.2773887747274859,0.736675069649855,0.1,⚠️,3.1122330110520124,True,0.78,0.1,1.022,False,MEDIUM,[],Quick response: I believe it's Paris.
paraphrase-mpnet-base-v2,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,0.25492820812695394,0.6066735867704688,0.1,⚠️,3.087204007897526,True,0.65,0.1,1.035,False,MEDIUM,[],Analysis: I believe it's Paris.
gpt4,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.27910662153084015,0.7606401656638094,0.1,⚠️,3.7038850132375956,True,0.92,0.15,1.012,False,MEDIUM,[],Let me think about this carefully. World War II ended in 1945.
claude3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.2852521217874212,0.7874862891578263,0.1,⚠️,3.7011819949839264,True,0.89,0.15,1.0165,False,MEDIUM,[],I appreciate this question. World War II ended in 1945.
gemini_2.5_pro,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.27616861425566624,0.7337940421697927,0.1,⚠️,3.6972320231143385,True,0.87,0.15,1.0195,False,MEDIUM,[],This is an interesting inquiry. World War II ended in 1945.
gemini,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.27398394497421275,0.7158966265071148,0.1,⚠️,3.6921319842804223,True,0.84,0.15,1.024,False,MEDIUM,[],"Based on my knowledge, It ended in 1945, I think."
openai_o3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.2906475681417413,0.832229828314521,0.1,✅,3.689342993311584,True,0.95,0.15,1.0075,False,MEDIUM,[],"After careful reasoning, World War II ended in 1945."
grok3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.2664496120140906,0.6711530873504201,0.1,⚠️,3.685924020828679,True,0.81,0.15,1.0285,False,MEDIUM,[],"Well, this is fascinating! It ended in 1945, I think."
gemini_flash,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.28489835972466193,0.7606401656638094,0.1,⚠️,3.687633987283334,True,0.78,0.15,1.033,False,MEDIUM,[],"Quick response: It ended in 1945, I think."
paraphrase-mpnet-base-v2,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,0.2634215427923987,0.6264095481937254,0.1,⚠️,3.6899610131513327,True,0.65,0.15,1.0525,False,MEDIUM,[],"Analysis: It ended in 1945, I think."
gpt4,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.28168430021005514,0.7784426104565394,0.1,⚠️,3.058047004742548,True,0.92,0.12,1.0096,False,MEDIUM,[],Let me think about this carefully. William Shakespeare wrote Romeo and Juliet.
claude3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.28763408851964384,0.8059170555314761,0.1,✅,3.056235989788547,True,0.89,0.12,1.0132,False,MEDIUM,[],I appreciate this question. William Shakespeare wrote Romeo and Juliet.
gemini_2.5_pro,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.278312976297232,0.7509681653816027,0.1,⚠️,2.9810650157742202,True,0.87,0.12,1.0156,False,MEDIUM,[],This is an interesting inquiry. William Shakespeare wrote Romeo and Juliet.
gemini,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.2758723953581761,0.7326518686649783,0.1,⚠️,2.936081000370905,True,0.84,0.12,1.0192,False,MEDIUM,[],"Based on my knowledge, William Shakespeare wrote Romeo and Juliet."
openai_o3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.29359137459598805,0.8517077973230374,0.1,✅,2.9358580068219453,True,0.95,0.12,1.006,False,MEDIUM,[],"After careful reasoning, William Shakespeare wrote Romeo and Juliet."
grok3,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.2680557875045862,0.686861126873417,0.1,⚠️,2.9378449835348874,True,0.81,0.12,1.0228,False,MEDIUM,[],"Well, this is fascinating! William Shakespeare wrote Romeo and Juliet."
gemini_flash,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.28637159839104653,0.7784426104565394,0.1,⚠️,2.9406200046651065,True,0.78,0.12,1.0264,False,MEDIUM,[],Quick response: Shakespeare wrote it.
paraphrase-mpnet-base-v2,Who wrote Romeo and Juliet?,basic_facts,1,0.22817580327084344,0.9997978557109419,0.052074723806316364,0.26382781232993924,0.6410703850818559,0.1,⚠️,2.9296180000528693,True,0.65,0.12,1.042,False,MEDIUM,[],Analysis: Shakespeare wrote it.
gpt4,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.2764743362627378,0.7428329629432527,0.1,⚠️,2.730696985963732,True,0.92,0.18,1.0144,False,MEDIUM,[],Let me think about this carefully. This requires careful philosophical consideration of the concepts involved.
claude3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.28280850396759877,0.7690505969294852,0.1,⚠️,2.7344660193193704,True,0.89,0.18,1.0198,False,MEDIUM,[],I appreciate this question. This is a complex question that challenges conventional thinking.
gemini_2.5_pro,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.2739608213306663,0.7166153289570202,0.1,⚠️,2.701360994251445,True,0.87,0.18,1.0234,False,MEDIUM,[],This is an interesting inquiry. This is a complex question that challenges conventional thinking.
gemini,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.2720270361963947,0.699136906299532,0.1,⚠️,2.6935609930660576,True,0.84,0.18,1.0288,False,MEDIUM,[],"Based on my knowledge, This is a complex question that challenges conventional thinking."
openai_o3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.28765290296057555,0.812746653573206,0.1,✅,2.6750380056910217,True,0.95,0.18,1.009,False,MEDIUM,[],"After careful reasoning, This requires careful philosophical consideration of the concepts involved."
grok3,What is the largest planet in our solar system?,basic_facts,1,0.22818857276429064,0.9999097630142048,0.052074723806316364,0.2647715304951913,0.6554408496558112,0.1,⚠️,2.665375010110438,True,0.81,0.18,1.0342,False,MEDIUM,[],"Well, this is fascinating! This is a complex question that challenges conventional thinking."
