model,prompt,category,tier,hbar_s,delta_mu,delta_sigma,confidence_flag,latency_ms,latency_compliant,component_count,cache_hits,weighted_hbar_s,drift_velocity,stability_score,risk_level,risk_score,recommendations,response,collapsed
gpt4,What is the capital of France?,basic_facts,1,0.2310451622579534,0.9319102715368184,0.057282196186948006,❌,2.291320008225739,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. Paris is the capital of France.,True
claude3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.3006999981589615,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The capital of France is Paris.,True
gemini,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.309805015102029,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, France's capital city is Paris.",True
gemini_2.5_pro,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.3163319856394082,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",This is an interesting inquiry that requires careful consideration. The capital and largest city of France is Paris.,True
gemini_flash,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.318213984835893,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Quick response: Paris.,True
grok3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.321337000466883,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Well, this is a fascinating puzzle! Ah, that would be Paris - the City of Light!",True
openai_o3,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.3245970078278333,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","After reasoning through this step by step, The answer is Paris, which serves as both capital and largest city.",True
paraphrase-mpnet-base-v2,What is the capital of France?,basic_facts,1,0.22029291863913625,0.9319102715368184,0.052074723806316364,❌,2.325262001249939,True,1,5,0.8041274577652175,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Semantic analysis suggests: Capital: Paris, France.",True
gpt4,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.1931530102156103,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",Let me carefully analyze this question. World War II ended in 1945.,True
claude3,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.2292630057781935,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']",I appreciate this thoughtful question. The war ended in 1945.,True
gemini,What year did World War II end?,basic_facts,1,0.22818239512691207,0.9998556236132888,0.052074723806316364,❌,3.2501649984624237,True,1,5,2.053689450871569,0.02,0.85,MEDIUM,0.5,"['High semantic uncertainty detected - proceed with caution', 'Low precision confidence - consider additional training data']","Based on my knowledge, WWII concluded in 1945.",True
