split,hbar_s,hbar_s_calibrated,pfail,label,golden_scale
train,5.223789394413539,17.760883941006032,0.9996220769539618,1,3.4
train,6.804086442109759,23.13389390317318,0.9999742473417862,0,3.4
train,5.0364417362052,17.12390190309768,0.9994804100818739,1,3.4
train,6.487378625078807,22.057087325267943,0.9999558795773483,0,3.4
train,5.299873506626924,18.01956992253154,0.9996679141712899,1,3.4
train,7.123758643198589,24.2207793868752,0.9999850440994361,0,3.4
train,5.1288042941626095,17.43793460015287,0.999555878116409,1,3.4
train,6.695035132451952,22.76311945033664,0.9999690020884021,0,3.4
train,5.299873506626924,18.01956992253154,0.9996679141712899,1,3.4
train,7.825129741578872,26.605441121368163,0.9999954606426104,0,3.4
train,5.336877611645933,18.145383879596174,0.9996881548581429,1,3.4
train,7.190124592294601,24.44642361380164,0.9999866397298234,0,3.4
train,5.223789394413539,17.760883941006032,0.9996220769539618,1,3.4
train,7.59695324446731,25.829641031188853,0.9999933095351778,0,3.4
train,5.299873506626926,18.01956992253155,0.9996679141712899,1,3.4
train,7.346835481759942,24.9792406379838,0.9999897643164416,0,3.4
train,5.376355772861295,18.2796096277284,0.9997083909333232,1,3.4
train,7.929368865020323,26.959854141069098,0.9999961978006134,0,3.4
train,5.3942517567606645,18.34045597298626,0.9997171265405211,1,3.4
train,7.702122993532162,26.18721817800935,0.9999944048739318,0,3.4
train,5.451990259019125,18.536766880665024,0.9997435661719749,1,3.4
train,6.379397859514061,21.689952722347805,0.9999469899676452,0,3.4
train,5.3942517567606645,18.34045597298626,0.9997171265405211,1,3.4
train,6.853686127979553,23.302532835130478,0.9999763297148622,0,3.4
train,8.387605118051033,28.51785740137351,0.9999982553043767,1,3.4
train,7.316550069910239,24.87627023769481,0.9999892235342137,0,3.4
train,5.416932894000821,18.41757183960279,0.9997278230451249,1,3.4
train,7.461803974822298,25.370133514395814,0.9999915814687078,0,3.4
train,5.199372522743019,17.677866577326263,0.999606066049178,1,3.4
train,7.0899857433240365,24.105951527301723,0.9999841603077982,0,3.4
train,5.336877611645933,18.145383879596174,0.9996881548581429,1,3.4
train,7.294815201692952,24.802371685756036,0.9999888179084154,0,3.4
train,5.401073092070011,18.36364851303804,0.9997203869594465,1,3.4
train,7.533572800651367,25.614147522214648,0.9999925483957467,0,3.4
train,5.413638517293032,18.40637095879631,0.9997262948763068,1,3.4
train,7.395136505033664,25.143464117114455,0.9999905711977799,0,3.4
train,5.36789000832447,18.250826028303198,0.9997041650595705,1,3.4
train,7.5639721246539215,25.717505223823334,0.9999929237021405,0,3.4
train,5.1288042941626095,17.43793460015287,0.999555878116409,1,3.4
train,6.760805285038421,22.98673796913063,0.9999722811176531,0,3.4
train,5.199372522743019,17.677866577326263,0.999606066049178,1,3.4
train,6.696060854274551,22.76660690453347,0.9999690560915311,0,3.4
train,5.313611546748779,18.066279258945848,0.9996755775730678,1,3.4
train,7.363505021107939,25.035917071766992,0.9999900503032597,0,3.4
train,5.1288042941626095,17.43793460015287,0.999555878116409,1,3.4
train,6.464084250450978,21.977886451533323,0.9999540974152297,0,3.4
train,5.1288042941626095,17.43793460015287,0.999555878116409,1,3.4
train,6.082104900145728,20.679156660495476,0.9999121312384672,0,3.4
train,5.301043076497013,18.023546460089843,0.9996685735725914,1,3.4
train,8.060580572749316,27.405973947347675,0.99999695798373,0,3.4
train,5.254971532575188,17.866903210755638,0.9996415817967473,1,3.4
train,7.076500787914509,24.06010267890933,0.9999837930038296,0,3.4
train,5.336877611645932,18.14538387959617,0.9996881548581429,1,3.4
train,7.430359815910227,25.26322337409477,0.9999911192146794,0,3.4
train,5.474659754954008,18.613843166843626,0.999753258260054,1,3.4
train,7.670683020275719,26.080322268937444,0.9999940976916439,0,3.4
train,5.299873506626924,18.01956992253154,0.9996679141712899,1,3.4
train,7.624577228942436,25.923562578404283,0.9999936164594716,0,3.4
train,5.422508656982595,18.436529433740823,0.9997303900742833,1,3.4
train,7.912268621900233,26.90171331446079,0.9999960856472645,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
train,nan,nan,0.5,1,3.4
train,nan,nan,0.5,0,3.4
